"comparison","node","is_key_action","outgoing_analyzed_dyads","incoming_analyzed_dyads","sender_seed123","receiver_seed123","sender_seed456","receiver_seed456","sender_seed789","receiver_seed789","sender_seed1011","receiver_seed1011"
"cdtally_AT","book_a",FALSE,0,2,NA,-0.0335957329930807,NA,-0.0312823217194532,NA,-0.0258823708676987,NA,-0.0206045158155678
"cdtally_AT","ss_pst",FALSE,0,3,NA,0.00666641341586112,NA,0.00715289721194132,NA,0.00742738567055191,NA,0.00723086329010928
"cdtally_AT","book_a_ok",FALSE,6,2,-0.107683428752003,-0.00289879754285518,-0.101643961195276,0.00160219367857662,-0.101744903516,-0.00568287902962668,-0.107961148172109,-0.00433678494563982
"cdtally_AT","book_m",FALSE,0,2,NA,0.00864006734488331,NA,0.00859816965777274,NA,0.00128696609208333,NA,-0.000310756157774779
"cdtally_AT","book_m_ok",FALSE,0,1,NA,0.00278939226037382,NA,-1.36995821172196e-06,NA,0.00660008729274696,NA,0.00160401951407682
"cdtally_AT","ss_cut",FALSE,0,4,NA,0.00618747258650183,NA,0.00205587209375676,NA,0.00666053088297597,NA,0.00118474073655517
"cdtally_SK_GB","wb_t_book",FALSE,11,13,-0.0121301234442625,0.00847620795765094,-0.0200664922302719,0.00696156993014181,-0.0194786277743688,0.00379927153737121,-0.0158671398203409,0.00450800922809052
"cdtally_SK_GB","book_a_c",FALSE,0,3,NA,0.106518113595722,NA,0.112316020453304,NA,0.109551238709604,NA,0.10748671415095
"cdtally_SK_GB","ss",FALSE,15,22,0.0170572585071235,0.0357302112661945,0.00861370998267972,0.0338447045388982,0.0100815691283813,0.036239713753292,0.0132197361652011,0.033543456940903
"cdtally_SK_GB","ss_so",TRUE,9,5,-0.0296757875567375,-0.0479623734446181,-0.0378287556712011,-0.0477704672565224,-0.0327629914179518,-0.0488715540389558,-0.0307904312443357,-0.0448824311807849
"cdtally_SK_GB","so_1_3",TRUE,5,3,0.00878376201702707,0.263381906928737,-0.0033034769728553,0.262841788517792,0.0013433566933057,0.262006565643532,0.00253090611507701,0.26090446087934
"cdtally_SK_GB","so_ok",TRUE,6,3,0.0393876385871513,-0.0118838331570688,0.0340596771105897,-0.00603971856348813,0.0316373989747948,-0.00894644587755633,0.0347946157136584,-0.0134072603059251
"cdtally_SK_GB","wb",FALSE,13,24,0.00351007239146144,0.0273506728990246,-0.00491629780227085,0.0293843912148441,-0.00214835567853809,0.0275499142554933,-0.00137042242745208,0.0277405485342829
"cdtally_SK_GB","combobox",FALSE,10,15,0.00154708144565383,0.0230047367158267,-0.00615530576790878,0.0233679416698526,-0.00404992661949669,0.0243728402901504,-0.00385955701727085,0.022280104313836
"cdtally_SK_GB","wb_t_f",FALSE,12,10,0.00499516173690078,-0.00398441117660909,-0.00357378404969692,-0.000572055352687388,-0.00170746209367859,-0.00203603574337723,0.000130433361377614,-0.00116107000893391
"cdtally_SK_GB","wb_t_b",FALSE,9,14,-0.00121387635793067,0.023173055177938,-0.00856696839965779,0.0215649220011696,-0.00663467488273126,0.0206049629069034,-0.00578513586103973,0.0211675757658093
"cdtally_SK_GB","wb_t_ho",FALSE,13,9,0.00373827938494866,-0.0011201619288302,-0.00821324086105075,-0.0060364441003735,-0.00213204126301049,-0.00478791805541638,-0.00331442222332977,0.00209030178491976
"cdtally_SK_GB","keypress",FALSE,20,14,0.000275898786372092,-0.00182212918326415,-0.00742300701660667,-0.00130635854416031,-0.00589415550358699,-0.00246965899850615,-0.00393035397854905,-0.00210000944125376
"cdtally_SK_GB","wb_f",FALSE,13,10,7.93697136942019e-05,0.000357834703529784,-0.00733922597763343,0.00317339083247624,-0.00591313781105312,-0.000354411430942799,-0.00444711449502302,0.00225733577271605
"cdtally_SK_GB","so_c",FALSE,0,4,NA,-0.00120496327233293,NA,0.00168662383081036,NA,-0.00305570530309006,NA,-0.00434272142354861
"cdtally_SK_GB","so_2_asc",TRUE,4,3,-0.0568210062701598,0.0309503277748568,-0.0657458701694047,0.0334183364329731,-0.0545848375169351,0.0259968641868987,-0.0558130441943919,0.0253262821934339
"cdtally_SK_GB","wb_t_h",FALSE,14,12,0.00594127996756117,-0.00129317023482984,-0.00137650911857698,0.00116450738222083,0.000300928981988865,0.00265572557823777,0.00184455039571405,0.000914850398604315
"cdtally_SK_GB","ss_data",TRUE,4,8,-0.04633087351377,0.00181662182255275,-0.0582912053474795,-0.000449062392633994,-0.0593012065891462,0.00167123570137722,-0.0579339224661787,3.75458198428009e-06
"cdtally_SK_GB","so",TRUE,4,1,-0.048263232490596,0.127258657128453,-0.0615637313104255,0.14062201972676,-0.0545067775696991,0.126785959079018,-0.052919845749652,0.141744901673793
"cdtally_SK_GB","so_2_desc",TRUE,0,1,NA,0.0208612764742262,NA,0.0115991969690397,NA,0.00517004616936529,NA,-0.00306949511604741
