"parameter","mean","sd","rhat","ess_bulk","ess_tail"
"kappa1[1,5]",6.60051837943872,0.655624010771156,1.03149406145226,114.35561070541,372.910616702186
"kappa1[8,12]",6.71621554462759,0.66969059639115,1.03131460772567,114.505756179717,358.300552904203
"kappa1[9,15]",10.3139742007757,1.02653618489494,1.0309902572162,114.562457999637,359.473430896005
"kappa1[12,9]",4.88086008580071,0.491578343962953,1.03098384296609,117.359873554281,381.75366015063
"kappa1[9,12]",7.1435744847892,0.721120187344699,1.03076684969622,117.623264193585,373.450916121943
"kappa1[12,11]",5.65307868179115,0.567287239143867,1.03064174336118,116.827754937851,374.027411285767
"kappa1[4,5]",10.8629565854185,1.10441228310137,1.03051230938758,118.181745980644,377.561421654888
"kappa1[11,9]",5.8183369447368,0.592345059096657,1.03046787466418,119.467163533194,375.822057871368
"kappa1[15,10]",10.0868834139901,1.02710871846557,1.03020868912446,118.047718307996,382.28075987289
"kappa1[8,5]",3.56407381365442,0.363822191055448,1.03015866976606,120.389778409185,390.710053325457
"kappa0[11,5]",1.31937539126853,0.166710842197966,1.03006987555135,140.916246975951,675.866831262507
"kappa1[45,1]",1159.57368772626,118.841511451748,1.02962828545213,120.78860307687,391.004801440776
"kappa1[12,5]",3.39906321800003,0.349011921816105,1.02941206055973,120.81374481649,393.209184786463
"kappa1[8,9]",3.0414580416407,0.312364577702876,1.02920195192334,122.351085546686,391.528160909847
"kappa0[8,11]",0.67699756243916,0.0872370769014196,1.02889073855186,177.767120376211,662.524365263825
"kappa1[2,12]",3.81284054194739,0.394722820097695,1.02884329468156,124.114477979925,392.215885412658
"kappa0[3,13]",3.09741752981251,0.404967180639757,1.02877760036112,179.056942121305,750.109080838063
"kappa0[4,3]",3.3934072179625,0.442984888636217,1.02876937928499,145.865823391122,789.269283837591
"kappa1[15,11]",6.0479329738427,0.631328620137986,1.02854612619898,126.313418367923,428.652176482567
"kappa0[12,8]",0.735154391274064,0.0980740365040344,1.02851102283713,141.002274757065,810.41103062821
"kappa0[15,9]",1.50830316354071,0.200783746521367,1.02829678994465,152.995799251204,834.559914376982
"kappa1[1,45]",1.82996576616896,0.192217911475061,1.02808552181224,126.288400927876,445.371556309729
"kappa1[27,8]",13.2795780749937,0.889650399953936,1.02787171182386,212.731561943949,389.223527400687
"kappa1[14,8]",5.09105700891266,0.348033337289009,1.02747526462011,228.482652625279,483.544353634791
"kappa1[11,1]",2.82632880224688,0.301941631442189,1.02725445315749,131.389767601231,470.574486077226
"kappa1[2,4]",2.58861509282479,0.275276284478996,1.02724788370107,130.289065181368,445.298340589609
"kappa1[3,13]",3.27680483134135,0.350542323756813,1.02714011479983,131.440351035634,450.844905228013
"kappa1[10,12]",2.93046734302322,0.314717584575537,1.02714009974144,131.803048784761,452.571099855768
"kappa1[4,9]",5.46530032605415,0.579639964898175,1.02700107611712,130.055355608373,444.09027999202
"kappa1[5,8]",3.69730981176297,0.403151388301744,1.02657296747132,136.738235698952,478.033766098802
"kappa1[8,45]",1.30525852018527,0.144042612588882,1.02649028751195,140.304417255907,503.059230712783
"kappa0[12,3]",0.604094275238198,0.0842154565366377,1.02646193727793,167.672437222278,886.247024855782
"kappa1[47,8]",8.46269834008702,0.596262329092701,1.0263258096745,233.751631939786,601.670869918668
"kappa0[10,9]",1.56233484655998,0.214759034236753,1.02604172711964,167.224341953585,822.471081108387
"kappa0[8,13]",0.502295785329386,0.0691336057405711,1.02598288451183,176.657676977817,840.20361479732
"kappa1[4,13]",4.48480419182559,0.48491359824134,1.02589834362122,134.542275026233,446.089701035247
"kappa1[12,3]",1.37331289742356,0.15165224775828,1.02558368269424,141.556572446214,515.332453425718
"kappa0[4,9]",2.61024812806283,0.361656578834299,1.02545736998537,155.786214753187,895.311795120763
"kappa1[4,3]",3.79318852182919,0.41711640309341,1.02535450669563,138.770752110894,536.114195912125
"kappa0[11,2]",0.738954811006265,0.106116554436866,1.02467519280717,157.059629902139,856.802600076579
"kappa0[2,8]",1.04601568326316,0.149444484491477,1.02457341667339,190.624631526711,1007.07991428159
"kappa1[48,1]",259.960477747395,18.3406025559892,1.02437456317689,246.532338562968,623.353426459839
"kappa1[11,5]",1.75278202594385,0.197055538549486,1.02434237233754,146.90012127247,552.118547572156
"kappa0[3,12]",2.15237471834041,0.305758951719257,1.02381602235271,185.984708801868,992.877268119853
"kappa1[1,9]",0.821865603040803,0.0940143218258597,1.02368479880333,150.248811484628,561.842378063618
"kappa1[10,9]",1.58175945001408,0.181199752139432,1.02361427181367,150.95902810883,557.274024827296
"kappa0[12,4]",0.426682770953187,0.0648473872307492,1.02304743833213,186.659823365569,1139.27370267049
"kappa1[12,4]",0.913841022320958,0.106306624461838,1.02301525083982,157.462971411832,593.35377534048
"mu_beta_cr[1,1]",-2.35419936853156,0.0665371068177874,1.02219236776924,208.937002063235,507.561848418888
"kappa1[11,2]",1.35396028632656,0.157706457519199,1.02202643245378,156.195088984623,647.152732492925
"kappa0[13,12]",9.85381715548825,1.50078178543106,1.02150270277328,209.395616395579,1092.76666581456
"beta_key0[1,7]",-2.36079419604449,0.0691302018295284,1.02125559456838,233.42344795842,603.32582423393
"kappa1[12,8]",0.763832224942374,0.0916637957137093,1.02116457043062,164.508856093808,632.682074163985
"beta_key0[1,11]",-2.37971177198441,0.068602349184099,1.02106801804316,207.387567954939,575.41274356626
"beta_key0[1,5]",-2.35573185459404,0.0694145729451166,1.02105233985188,228.292705662482,612.285384365206
"kappa0[12,10]",0.392053174346884,0.0612927602783432,1.02101614011526,216.327037360306,1601.37807327631
"kappa1[8,13]",0.603432278042054,0.0746926906354132,1.02090893288594,174.972936012639,632.395165627834
"beta_key0[1,6]",-2.34415685668071,0.0694979515760954,1.0207258895695,232.170923464544,600.410007197964
"beta_key1[1,10]",-3.13555409790551,0.0764302360666072,1.02068928019616,203.132225166893,609.614260594904
"kappa0[5,9]",0.746376902636572,0.118206319256958,1.02068582677635,280.535270514372,1421.01544999525
"kappa1[6,7]",108.296833010584,3.20153875738685,1.02059783239002,198.868603030793,732.693478946228
"kappa0[6,7]",106.938058556466,3.14842903216898,1.02055153813072,193.643367934884,749.791601542547
"kappa1[12,10]",0.644714956987412,0.0796248234278853,1.0203752575268,175.086983863718,701.878691215343
"beta_key0[1,3]",-2.37382239893255,0.0696433328988169,1.02035558269089,239.555681568199,617.641759922976
"beta_key0[1,1]",-2.38926088214882,0.0706609262211626,1.02033349033541,226.808731845603,628.267072129158
"beta_key0[1,13]",-2.31409450445168,0.071764154623559,1.02016050751592,269.86654192539,710.87515580919
"beta_key0[1,9]",-2.27639444019648,0.0697066561232986,1.02005747099815,243.157413560116,641.737540226846
"beta_key1[1,11]",-3.11802516985124,0.0755074542858009,1.02004756508479,207.762993973706,639.425497610205
"kappa1[5,6]",1875.28529163083,124.554711690121,1.02003630516719,247.543396417356,555.622362223646
"beta_key0[1,14]",-2.3302427467041,0.0706846762151973,1.01998332846757,231.988614775492,616.815009051749
"beta_key0[1,12]",-2.35336953475728,0.0701631840501324,1.01989230261768,230.612288508323,596.283896865021
"mu_beta_cr[2,1]",-3.09444655428114,0.0749809701148202,1.0198890103527,200.540038009851,654.503565368396
"beta_key0[1,10]",-2.39709611880231,0.0707389802959902,1.01986492906954,252.061109766685,642.476303293552
"kappa1[3,12]",1.2882040009874,0.155299800780762,1.01983445372842,170.754047816085,670.646110568019
"kappa1[13,12]",12.8585910548748,1.59148788278152,1.0197169515252,179.431584644646,734.463679741637
"beta_key1[1,6]",-3.09199498690487,0.0752259631674823,1.01958238306756,193.645285639219,667.254797289419
"kappa1[2,5]",0.902544573830771,0.110869350826975,1.01947225353666,175.102936955627,761.237994617691
"kappa1[2,8]",0.816047557233908,0.10186469615995,1.01902160005639,185.648318853708,732.48101758621
"beta_key1[1,12]",-3.02744230209397,0.0776708240451961,1.01899191826858,207.897140095702,614.825561471222
"beta_key0[1,8]",-2.33489602479692,0.0708551825651523,1.01888236843038,241.615889007878,627.218285599285
"beta_key1[1,7]",-3.11155222235571,0.0761370896687342,1.01887746854017,197.030910998772,663.454167028903
"beta_key1[1,3]",-3.11607855203052,0.078085158251285,1.0188071586553,211.623659416027,710.511946607412
"beta_key1[1,5]",-3.03046215895681,0.0777805073601397,1.01876390824441,216.709968683408,650.866801264021
"kappa1[56,1]",11.8616623224077,0.975422571170876,1.01871612825043,344.683351959242,1003.30766212159
"kappa0[4,8]",1.45247031308522,0.236464712504679,1.01866012342856,276.801439607187,1584.239266517
"kappa0[3,5]",1.32230356075445,0.215532516938409,1.01856740399795,274.265901749809,1374.82054950944
"beta_key0[1,4]",-2.35711432616149,0.0693625403274912,1.01846887508577,240.507596443831,598.142687352885
"kappa1[3,5]",0.915265152613653,0.117860711855349,1.01845614120697,192.734850370109,840.470398463201
"kappa0[10,15]",0.801736099480797,0.13288009501906,1.01840672716084,258.466621967752,1507.63269721865
"kappa0[28,27]",159.805259989921,5.26689047152009,1.01834156760551,233.955101280198,951.401102907788
"kappa1[4,8]",1.36499293225138,0.176992565139643,1.01825907711593,194.195138384485,810.199754703258
"beta_key1[1,8]",-3.15268323522395,0.0806130319442027,1.01819806140555,232.096225731788,746.89023354047
"beta_key1[1,9]",-2.86820637342323,0.0772914386489434,1.01803875269954,211.60183967679,619.443768811746
"kappa0[12,15]",0.341284178951922,0.0555804771800527,1.01792339641017,284.459737473558,1461.47019533035
"mu_tau[6]",-1.46842928278006,0.0538463719785375,1.01791850393194,358.82970402122,865.720255490235
"beta_key1[1,1]",-3.12206318844091,0.0791032780809874,1.01787466157107,219.684609387356,744.277820911655
"beta_key0[1,2]",-2.39801756973197,0.0721555855399559,1.01784723612803,258.297824978792,721.829980832195
"kappa1[15,9]",1.12614111403652,0.148318302932269,1.01781192860708,200.23661012172,807.730663219823
"kappa1[14,9]",1.6422864019188,0.138928774606166,1.01772156765633,342.357237849042,857.068229192086
"beta_key1[1,4]",-3.13012350592645,0.077208981015907,1.01769693384037,218.633340492309,609.396726870446
"kappa1[1,11]",0.424083864182468,0.0543295791278085,1.01756097713428,194.030897726905,889.084373184175
"kappa1[2,9]",0.69773774431322,0.0904765909466064,1.0174710145142,193.909022004514,824.98699174644
"beta_key1[1,2]",-3.18500336489762,0.0800656277771393,1.01727257245646,224.14178459498,746.181729468665
"kappa1[5,9]",1.04456729855761,0.140965716054859,1.0172584838756,210.637341394668,907.237005554686
"beta_key1[1,13]",-3.11651151600116,0.0824927151172647,1.01657946993529,236.926498696219,846.469716585855
"kappa1[7,11]",1.25798702134439,0.106060826071652,1.0165633929131,361.701841495393,1362.9386427429
"kappa1[8,11]",0.34726038859774,0.04877097083784,1.01576566324769,229.453135225386,1047.10628948711
"beta_key1[1,14]",-3.14736360710295,0.0808359528094351,1.01508961073568,239.294660283617,795.31763747465
"kappa1[12,15]",0.379180745064023,0.0528614390052984,1.01489148469386,226.335579962444,971.285791882461
"kappa0[26,27]",180.647578249751,6.31066472933806,1.0148723306785,275.834869515532,1128.87317422819
